"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"1","0.000000","1.9.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
"3","0.160013","1.9.1","host","USB","72","2000060000000000","URB_INTERRUPT in"
"5","0.272171","1.9.1","host","USB","72","2000160600000000","URB_INTERRUPT in"
"7","0.320144","1.9.1","host","USB","72","2000160000000000","URB_INTERRUPT in"
"9","0.352009","1.9.1","host","USB","72","2000160400000000","URB_INTERRUPT in"
"11","0.432010","1.9.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
"13","0.927973","1.9.1","host","USB","72","2000060000000000","URB_INTERRUPT in"
"15","1.008035","1.9.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
"17","1.232181","1.9.1","host","USB","72","2000170000000000","URB_INTERRUPT in"
"19","1.312206","1.9.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
"21","1.423975","1.9.1","host","USB","72","2000090000000000","URB_INTERRUPT in"
"23","1.504155","1.9.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
"27","1.679978","1.9.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"29","1.872152","1.9.1","host","USB","72","02002f0000000000","URB_INTERRUPT in"
"31","1.904151","1.9.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"35","3.664300","1.9.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"39","3.904014","1.9.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"43","4.848208","1.9.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"47","5.216079","1.9.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"49","5.472054","1.9.1","host","USB","72","02002d0000000000","URB_INTERRUPT in"
"51","5.536310","1.9.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"55","5.904052","1.9.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"59","6.112294","1.9.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"63","6.320260","1.9.1","host","USB","72","0000090000000000","URB_INTERRUPT in"
"65","6.432060","1.9.1","host","USB","72","0000090c00000000","URB_INTERRUPT in"
"67","6.480085","1.9.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"71","8.096087","1.9.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"75","8.352063","1.9.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"77","8.448069","1.9.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"79","8.528192","1.9.1","host","USB","72","0000081700000000","URB_INTERRUPT in"
"81","8.576244","1.9.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"85","8.752131","1.9.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"87","9.024107","1.9.1","host","USB","72","02002d0000000000","URB_INTERRUPT in"
"89","9.104122","1.9.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"93","9.712072","1.9.1","host","USB","72","0000100000000000","URB_INTERRUPT in"
"97","9.904125","1.9.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"101","10.128195","1.9.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"105","10.752125","1.9.1","host","USB","72","00000e0000000000","URB_INTERRUPT in"
"109","10.928090","1.9.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"111","10.960132","1.9.1","host","USB","72","0000081c00000000","URB_INTERRUPT in"
"113","11.040091","1.9.1","host","USB","72","00001c0000000000","URB_INTERRUPT in"
"117","11.408216","1.9.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"119","11.616099","1.9.1","host","USB","72","02002d0000000000","URB_INTERRUPT in"
"121","11.696099","1.9.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"125","12.464127","1.9.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"129","12.640144","1.9.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"133","13.056149","1.9.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
